data.date,data.owned or leased,data.parking spaces,data.status,data.type,location.congressional district,location,region_id,data.disabilities.ADA Accessible,usable,City,location.address.state,address_code
2003.11.1,OWNED,109,ACTIVE,BUILDING,98,DC1266,11,No,114610,WASHINGTON,DC,20006
0,OWNED,0,ACTIVE,BUILDING,98,DC1267,11,Will Conform,0,WASHINGTON,DC,20001
2013.9.4,OWNED,0,ACTIVE,LAND,98,DC1268,11,No,0,WASHINGTON,DC,200065009
1947.7.1,LEASED,223,ACTIVE,BUILDING,98,DC1269,11,Yes,296321,WASHINGTON,DC,200065009
0,OWNED,0,ACTIVE,BUILDING,98,DC1271,11,Will Conform,0,WASHINGTON,DC,20006
0,OWNED,0,ACTIVE,BUILDING,98,DC1272,11,Will Conform,0,WASHINGTON,DC,20004
0,OWNED,0,ACTIVE,BUILDING,98,DC1277,11,Will Conform,0,WASHINGTON,DC,20001
0,OWNED,0,ACTIVE,BUILDING,98,DC1278,11,Will Conform,0,WASHINGTON,DC,200014599
0,OWNED,0,ACTIVE,BUILDING,98,DC1279,11,Will Conform,0,WASHINGTON,DC,20001
0,OWNED,0,ACTIVE,BUILDING,98,DC1280,11,Will Conform,0,WASHINGTON,DC,20001
0,OWNED,0,ACTIVE,STRUCTURE,98,DC1281,11,Will Conform,0,WASHINGTON,DC,20004
0,OWNED,0,ACTIVE,BUILDING,98,DC1282,11,Will Conform,0,WASHINGTON,DC,205650001
0,OWNED,0,ACTIVE,BUILDING,98,DC1283,11,Will Conform,0,WASHINGTON,DC,20006
0,OWNED,0,ACTIVE,BUILDING,98,DC1284,11,Will Conform,0,WASHINGTON,DC,200065826
0,OWNED,0,ACTIVE,BUILDING,98,DC1286,11,Will Conform,0,WASHINGTON,DC,200520036
0,OWNED,0,ACTIVE,BUILDING,98,DC1287,11,Will Conform,0,WASHINGTON,DC,200012709
0,OWNED,0,ACTIVE,BUILDING,98,DC1290,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1291,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1292,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1293,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1294,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1295,11,Will Conform,0,WASHINGTON,DC,200020000
0,OWNED,0,ACTIVE,BUILDING,98,DC1297,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1298,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1299,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1300,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1301,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1302,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,BUILDING,98,DC1304,11,Will Conform,0,WASHINGTON,DC,200013024
0,OWNED,0,ACTIVE,STRUCTURE,98,DC1305,11,Will Conform,0,WASHINGTON,DC,200013024
